latitude,longitude,altitude (m)
45.61606367,9.280685586,0
45.61616392,9.280700467,0
45.61622327,9.28070918,0
45.61628475,9.28071955,0
45.61635953,9.280730534,0
45.61647857,9.280747915,0
45.61657465,9.280761465,0
45.61666522,9.280774538,0
45.61673771,9.280786646,0
45.61680918,9.280794186,0
45.61690004,9.280807521,0
45.61696874,9.280818149,0
45.61703636,9.280827524,0
45.61709804,9.280835978,0
45.61715223,9.280844593,0
45.61721991,9.280855206,0
45.61728331,9.280864039,0
45.61735824,9.28087322,0
45.61744241,9.280886333,0
45.61753624,9.280900843,0
45.61759559,9.28090762,0
45.61764402,9.280914952,0
45.61769605,9.280922827,0
45.61775349,9.280934262,0
45.61781691,9.280939428,0
45.61787914,9.280948937,0
45.6179383,9.280956743,0
45.61800467,9.280968653,0
45.61808024,9.280976907,0
45.61815109,9.280989881,0
45.61825278,9.281004984,0
45.61831449,9.281010585,0
45.61839416,9.28102637,0
45.61847554,9.28103992,0
45.61855957,9.281047882,0
45.61865279,9.281060026,0
45.61872278,9.281075277,0
45.61879834,9.281084788,0
45.61888654,9.281097865,0
45.61895341,9.281106857,0
45.61902688,9.281117398,0
45.61910367,9.281127043,0
45.61917095,9.281138497,0
45.61922793,9.281145728,0
45.6192969,9.281156131,0
45.61936308,9.281164599,0
45.61941887,9.281174082,0
45.6194833,9.281183145,0
45.61955957,9.281196112,0
45.61963508,9.281206872,0
45.61972656,9.281218109,0
45.61980008,9.281229211,0
45.61986115,9.281240685,0
45.6199368,9.281251458,0
45.61998541,9.281256991,0
45.62003394,9.281265084,0
45.62008726,9.2812731,0
45.6201311,9.281277386,0
45.62018901,9.281286238,0
45.62025474,9.281294179,0
45.6203182,9.281302198,0
45.62037878,9.281311384,0
45.62044434,9.28131794,0
45.62050867,9.281327711,0
45.62057401,9.281337746,0
45.62062808,9.281346499,0
45.62069535,9.281351212,0
45.62075584,9.281364795,0
45.62084889,9.281370518,0
45.62091241,9.281382737,0
45.62096305,9.281387095,0
45.6210131,9.281396881,0
45.62107958,9.281405478,0
45.62114344,9.281411462,0
45.62120155,9.281417957,0
45.62126544,9.281426434,0
45.62132373,9.281435728,0
45.62138172,9.281442328,0
45.62143493,9.281449788,0
45.62149523,9.28145489,0
45.62155599,9.281464342,0
45.62163553,9.281474434,0
45.62170387,9.28148206,0
45.62175581,9.281488551,0
45.62179867,9.281495549,0
45.62183661,9.281497726,0
45.62188831,9.281506991,0
45.62193662,9.281513862,0
45.62198494,9.281520828,0
45.62201921,9.281526459,0
45.62211814,9.281537808,0
45.62216591,9.281543497,0
45.62221267,9.281549138,0
45.62226812,9.281556408,0
45.62232652,9.281563536,0
45.62238556,9.281571645,0
45.62243736,9.281579212,0
45.62252049,9.281588718,0
45.62260298,9.281599084,0
45.62268209,9.281610593,0
45.62276166,9.281620397,0
45.62284755,9.28163154,0
45.62294942,9.28164275,0
45.62299036,9.28164986,0
45.62302241,9.281655392,0
45.62306029,9.281659838,0
45.62309876,9.281663256,0
45.62314812,9.28167024,0
45.62318492,9.281676581,0
45.62321891,9.281679111,0
45.62325477,9.281682973,0
45.62329702,9.28169123,0
45.62333658,9.281694277,0
45.62338164,9.281700418,0
45.62342972,9.281705289,0
45.62347122,9.281712023,0
45.6235064,9.281714715,0
45.62355646,9.281721823,0
45.62359947,9.28172704,0
45.62364366,9.281735077,0
45.62367881,9.281738185,0
45.62372522,9.281744713,0
45.62375465,9.281748797,0
45.6237953,9.281753157,0
45.62382688,9.281756561,0
45.62385406,9.281760098,0
45.62389076,9.281764744,0
45.62392265,9.281770294,0
45.62395749,9.281773845,0
45.62399027,9.281777853,0
45.62401673,9.281782474,0
45.62404399,9.281785664,0
45.62407108,9.281788873,0
45.62410175,9.281785763,0
45.62412729,9.281790568,0
45.62415863,9.281793489,0
45.62420294,9.281799021,0
45.62421728,9.281799843,0
45.6242369,9.281804405,0
45.6242573,9.281805488,0
45.62427493,9.281808781,0
45.62429948,9.281810689,0
45.62431775,9.281813185,0
45.6243321,9.281815431,0
45.62435368,9.281817777,0
45.62437785,9.281820944,0
45.62440495,9.281824475,0
45.62442811,9.281829009,0
45.62446311,9.28183417,0
45.62447649,9.28183765,0
45.6244908,9.281839782,0
45.62450139,9.281842866,0
45.62451201,9.281846573,0
45.62452139,9.28185055,0
45.62453228,9.28185699,0
45.62454179,9.281864257,0
45.62455154,9.281871797,0
45.6245609,9.28188212,0
45.6245675,9.281893252,0
45.62457485,9.281905189,0
45.6245797,9.281916246,0
45.624586,9.281929692,0
45.62459326,9.281942998,0
45.62459696,9.281957237,0
45.62460299,9.281974158,0
45.62460451,9.281986807,0
45.62460914,9.282002851,0
45.62460913,9.282016446,0
45.62461147,9.282031713,0
45.62461226,9.282049402,0
45.62461304,9.282067684,0
45.62461383,9.282086562,0
45.6246138,9.282103885,0
45.62461234,9.282116427,0
45.62461224,9.282133595,0
45.62461094,9.282146376,0
45.62460858,9.282161763,0
45.62460763,9.282178051,0
45.62460661,9.282189742,0
45.62460511,9.282203062,0
45.6246065,9.282215337,0
45.62460363,9.282231047,0
45.6246041,9.282244993,0
45.62460415,9.282256065,0
45.62460513,9.282268017,0
45.62460637,9.282278811,0
45.62461029,9.282291213,0
45.62461511,9.282305231,0
45.62462054,9.282321336,0
45.6246242,9.282339527,0
45.62462869,9.282350443,0
45.62463917,9.282366211,0
45.62464874,9.282378651,0
45.62465807,9.282386124,0
45.6246712,9.282393695,0
45.62468739,9.282398134,0
45.62470416,9.282404347,0
45.62471894,9.282407775,0
45.62473468,9.282407317,0
45.62475365,9.282405037,0
