type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	45.616063673	9.280685586	181.0	Left_Boundary		Left_Boundary_Data.kml
T	45.616163924	9.280700467	180.4			
T	45.616223272	9.280709180	179.8			
T	45.616284748	9.280719550	179.2			
T	45.616359526	9.280730534	178.5			
T	45.616478568	9.280747915	179.3			
T	45.616574653	9.280761465	180.3			
T	45.616665224	9.280774538	181.2			
T	45.616737708	9.280786646	181.4			
T	45.616809176	9.280794186	181.6			
T	45.616900036	9.280807521	181.9			
T	45.616968740	9.280818149	182.0			
T	45.617036360	9.280827524	182.0			
T	45.617098040	9.280835978	182.0			
T	45.617152232	9.280844593	182.0			
T	45.617219907	9.280855206	181.9			
T	45.617283309	9.280864039	181.9			
T	45.617358244	9.280873220	181.9			
T	45.617442412	9.280886333	182.0			
T	45.617536242	9.280900843	182.0			
T	45.617595585	9.280907620	182.0			
T	45.617644024	9.280914952	182.0			
T	45.617696054	9.280922827	182.0			
T	45.617753485	9.280934262	182.0			
T	45.617816908	9.280939428	182.0			
T	45.617879136	9.280948937	182.0			
T	45.617938295	9.280956743	182.0			
T	45.618004673	9.280968653	182.0			
T	45.618080235	9.280976907	182.1			
T	45.618151092	9.280989881	182.3			
T	45.618252776	9.281004984	182.7			
T	45.618314485	9.281010585	182.9			
T	45.618394155	9.281026370	183.0			
T	45.618475535	9.281039920	183.0			
T	45.618559573	9.281047882	183.0			
T	45.618652789	9.281060026	183.0			
T	45.618722775	9.281075277	183.0			
T	45.618798340	9.281084788	183.0			
T	45.618886535	9.281097865	183.0			
T	45.618953411	9.281106857	183.2			
T	45.619026884	9.281117398	183.5			
T	45.619103671	9.281127043	183.8			
T	45.619170950	9.281138497	184.0			
T	45.619227928	9.281145728	184.0			
T	45.619296895	9.281156131	184.0			
T	45.619363075	9.281164599	184.0			
T	45.619418865	9.281174082	184.0			
T	45.619483304	9.281183145	184.0			
T	45.619559565	9.281196112	184.0			
T	45.619635078	9.281206872	184.0			
T	45.619726560	9.281218109	184.0			
T	45.619800077	9.281229211	183.9			
T	45.619861154	9.281240685	183.8			
T	45.619936800	9.281251458	183.6			
T	45.619985414	9.281256991	183.5			
T	45.620033942	9.281265084	183.1			
T	45.620087261	9.281273100	182.7			
T	45.620131095	9.281277386	182.3			
T	45.620189010	9.281286238	181.8			
T	45.620254743	9.281294179	181.2			
T	45.620318197	9.281302198	181.4			
T	45.620378775	9.281311384	182.1			
T	45.620444339	9.281317940	182.8			
T	45.620508673	9.281327711	183.5			
T	45.620574008	9.281337746	184.0			
T	45.620628082	9.281346499	184.0			
T	45.620695349	9.281351212	184.0			
T	45.620755835	9.281364795	184.0			
T	45.620848890	9.281370518	184.0			
T	45.620912413	9.281382737	184.0			
T	45.620963052	9.281387095	184.0			
T	45.621013104	9.281396881	184.0			
T	45.621079583	9.281405478	184.0			
T	45.621143441	9.281411462	184.1			
T	45.621201546	9.281417957	184.3			
T	45.621265435	9.281426434	184.6			
T	45.621323725	9.281435728	184.8			
T	45.621381717	9.281442328	185.0			
T	45.621434930	9.281449788	185.0			
T	45.621495228	9.281454890	185.0			
T	45.621555990	9.281464342	185.0			
T	45.621635533	9.281474434	185.0			
T	45.621703871	9.281482060	185.0			
T	45.621755811	9.281488551	185.0			
T	45.621798669	9.281495549	185.0			
T	45.621836607	9.281497726	185.0			
T	45.621888311	9.281506991	185.0			
T	45.621936616	9.281513862	185.0			
T	45.621984936	9.281520828	185.0			
T	45.622019208	9.281526459	185.0			
T	45.622118135	9.281537808	185.0			
T	45.622165906	9.281543497	185.0			
T	45.622212669	9.281549138	185.0			
T	45.622268115	9.281556408	185.0			
T	45.622326518	9.281563536	185.0			
T	45.622385564	9.281571645	185.0			
T	45.622437359	9.281579212	185.0			
T	45.622520485	9.281588718	185.0			
T	45.622602977	9.281599084	185.0			
T	45.622682088	9.281610593	185.0			
T	45.622761656	9.281620397	185.0			
T	45.622847553	9.281631540	185.0			
T	45.622949415	9.281642750	185.0			
T	45.622990364	9.281649860	185.0			
T	45.623022413	9.281655392	185.0			
T	45.623060290	9.281659838	185.0			
T	45.623098755	9.281663256	185.2			
T	45.623148117	9.281670240	185.3			
T	45.623184924	9.281676581	185.5			
T	45.623218910	9.281679111	185.6			
T	45.623254771	9.281682973	185.7			
T	45.623297021	9.281691230	185.9			
T	45.623336584	9.281694277	186.0			
T	45.623381637	9.281700418	186.0			
T	45.623429721	9.281705289	186.0			
T	45.623471218	9.281712023	186.0			
T	45.623506397	9.281714715	186.0			
T	45.623556459	9.281721823	186.0			
T	45.623599466	9.281727040	186.0			
T	45.623643656	9.281735077	186.0			
T	45.623678810	9.281738185	186.0			
T	45.623725224	9.281744713	186.0			
T	45.623754650	9.281748797	186.0			
T	45.623795299	9.281753157	186.0			
T	45.623826877	9.281756561	186.0			
T	45.623854059	9.281760098	186.0			
T	45.623890763	9.281764744	186.0			
T	45.623922648	9.281770294	186.0			
T	45.623957485	9.281773845	186.0			
T	45.623990268	9.281777853	186.0			
T	45.624016732	9.281782474	186.0			
T	45.624043988	9.281785664	186.0			
T	45.624071080	9.281788873	186.0			
T	45.624101753	9.281785763	186.0			
T	45.624127294	9.281790568	186.0			
T	45.624158626	9.281793489	186.0			
T	45.624202943	9.281799021	186.0			
T	45.624217278	9.281799843	186.0			
T	45.624236901	9.281804405	186.0			
T	45.624257301	9.281805488	186.0			
T	45.624274934	9.281808781	186.0			
T	45.624299484	9.281810689	186.0			
T	45.624317750	9.281813185	186.0			
T	45.624332102	9.281815431	186.0			
T	45.624353677	9.281817777	186.0			
T	45.624377850	9.281820944	186.0			
T	45.624404948	9.281824475	186.0			
T	45.624428109	9.281829009	186.0			
T	45.624463112	9.281834170	186.0			
T	45.624476488	9.281837650	186.1			
T	45.624490801	9.281839782	186.1			
T	45.624501393	9.281842866	186.1			
T	45.624512008	9.281846573	186.2			
T	45.624521394	9.281850550	186.2			
T	45.624532280	9.281856990	186.2			
T	45.624541788	9.281864257	186.2			
T	45.624551542	9.281871797	186.3			
T	45.624560903	9.281882120	186.3			
T	45.624567502	9.281893252	186.4			
T	45.624574851	9.281905189	186.4			
T	45.624579699	9.281916246	186.4			
T	45.624586002	9.281929692	186.5			
T	45.624593259	9.281942998	186.5			
T	45.624596962	9.281957237	186.6			
T	45.624602987	9.281974158	186.6			
T	45.624604512	9.281986807	186.6			
T	45.624609136	9.282002851	186.7			
T	45.624609134	9.282016446	186.7			
T	45.624611473	9.282031713	186.7			
T	45.624612255	9.282049402	186.8			
T	45.624613039	9.282067684	186.8			
T	45.624613825	9.282086562	186.8			
T	45.624613799	9.282103885	186.8			
T	45.624612344	9.282116427	186.8			
T	45.624612242	9.282133595	186.9			
T	45.624610935	9.282146376	186.9			
T	45.624608576	9.282161763	186.9			
T	45.624607629	9.282178051	186.9			
T	45.624606611	9.282189742	187.0			
T	45.624605113	9.282203062	187.0			
T	45.624606497	9.282215337	187.0			
T	45.624603634	9.282231047	187.0			
T	45.624604103	9.282244993	187.0			
T	45.624602091	9.282257370	187.0			
T	45.624601779	9.282269231	187.0			
T	45.624601338	9.282283709	187.0			
T	45.624602193	9.282298823	187.0			
T	45.624603090	9.282312236	187.0			
T	45.624605422	9.282326031	187.0			
T	45.624609131	9.282340784	187.0			
T	45.624614453	9.282356637	187.0			
T	45.624623416	9.282371556	187.0			
T	45.624630095	9.282382749	187.0			
T	45.624641110	9.282396856	187.0			
T	45.624654717	9.282405981	187.0			
T	45.624668958	9.282414091	187.0			
T	45.624685956	9.282418693	187.0			
T	45.624703823	9.282418702	187.0			
T	45.624718165	9.282415156	187.0			
T	45.624734909	9.282411707	187.0			
T	45.624753647	9.282405037	187.0			
T	45.624775360	9.282394228	187.0			
T	45.624805754	9.282385748	187.0			
T	45.624833590	9.282375907	187.0			
T	45.624865217	9.282359347	187.0			
T	45.624892849	9.282346880	187.0			
T	45.624920630	9.282336603	187.0			
T	45.624951689	9.282325696	187.0			
T	45.624983815	9.282310610	187.0			
T	45.625003548	9.282303425	187.0			
T	45.625038377	9.282290678	187.0			
T	45.625067882	9.282278190	187.0			
T	45.625104659	9.282264360	187.0			
T	45.625141236	9.282250261	187.0			
T	45.625176074	9.282241613	187.0			
T	45.625204551	9.282231047	187.0			
T	45.625234693	9.282217950	187.0			
T	45.625268993	9.282203443	187.0			
T	45.625298247	9.282194923	187.0			
T	45.625331514	9.282182154	187.0			
T	45.625354770	9.282172373	187.1			
T	45.625380448	9.282163944	187.1			
T	45.625406342	9.282155190	187.1			
T	45.625435002	9.282144888	187.2			
T	45.625462984	9.282132826	187.2			
T	45.625492088	9.282122531	187.3			
T	45.625523535	9.282112283	187.3			
T	45.625562183	9.282100288	187.5			
T	45.625600482	9.282090753	187.6			
T	45.625654875	9.282076801	187.7			
T	45.625688800	9.282069898	187.8			
T	45.625721834	9.282061935	187.8			
T	45.625752545	9.282055848	187.9			
T	45.625783406	9.282049622	187.9			
T	45.625826139	9.282042489	188.0			
T	45.625858894	9.282039673	188.1			
T	45.625901081	9.282036735	188.2			
T	45.625963197	9.282031199	188.3			
T	45.626023699	9.282021746	188.5			
T	45.626070781	9.282022281	188.6			
T	45.626157392	9.282024492	188.6			
T	45.626206204	9.282025454	188.5			
T	45.626245549	9.282027432	188.4			
T	45.626278915	9.282031207	188.3			
T	45.626316731	9.282036127	188.2			
T	45.626359072	9.282040651	188.1			
T	45.626394350	9.282043674	188.0			
T	45.626429829	9.282048823	188.0			
T	45.626463769	9.282052499	188.0			
T	45.626493979	9.282054246	188.0			
T	45.626527744	9.282058189	188.0			
T	45.626569018	9.282064196	188.0			
T	45.626618044	9.282069634	188.0			
T	45.626661862	9.282075748	188.0			
T	45.626710981	9.282081734	188.0			
T	45.626758101	9.282086110	188.0			
T	45.626817141	9.282091488	188.0			
T	45.626871204	9.282098352	188.0			
T	45.626921261	9.282106126	188.0			
T	45.626966941	9.282110775	188.0			
T	45.627019960	9.282116932	188.0			
T	45.627072422	9.282121490	188.0			
T	45.627120037	9.282129390	188.0			
T	45.627176340	9.282135928	188.0			
T	45.627230548	9.282142810	188.0			
T	45.627283255	9.282148752	188.2			
T	45.627348186	9.282153051	188.3			
T	45.627417131	9.282164597	188.6			
T	45.627485979	9.282172814	188.8			
T	45.627545151	9.282185408	188.9			
T	45.627606605	9.282199703	188.9			
T	45.627651936	9.282216014	189.0			
T	45.627701733	9.282229440	189.0			
T	45.627732498	9.282242066	188.9			
T	45.627765809	9.282250447	188.9			
T	45.627803947	9.282264389	188.9			
T	45.627842660	9.282278080	188.8			
T	45.627881624	9.282297459	188.8			
T	45.627911193	9.282309592	188.8			
T	45.627942112	9.282324608	188.8			
T	45.627979412	9.282343144	188.9			
T	45.628019144	9.282361641	188.9			
T	45.628055525	9.282379306	189.0			
T	45.628105999	9.282408893	189.1			
T	45.628169791	9.282444853	189.3			
T	45.628246732	9.282491540	189.7			
T	45.628318058	9.282538621	189.7			
T	45.628388810	9.282594625	189.3			
T	45.628470338	9.282658706	188.9			
T	45.628547768	9.282723620	188.9			
T	45.628622806	9.282796745	189.0			
T	45.628689006	9.282865851	189.0			
T	45.628766899	9.282952001	189.0			
T	45.628829168	9.283018899	189.0			
T	45.628876490	9.283072220	189.0			
T	45.628922889	9.283133931	189.0			
T	45.628958463	9.283187438	189.1			
T	45.629005161	9.283242552	189.3			
T	45.629037104	9.283306230	189.5			
T	45.629079696	9.283365450	189.6			
T	45.629123393	9.283437268	189.5			
T	45.629169874	9.283514542	189.4			
T	45.629219897	9.283593604	189.2			
T	45.629257756	9.283662421	189.5			
T	45.629294801	9.283738743	189.7			
T	45.629327742	9.283806009	189.9			
T	45.629360618	9.283871821	190.0			
T	45.629391640	9.283934892	190.0			
T	45.629418583	9.283995274	190.0			
T	45.629451548	9.284074340	190.0			
T	45.629476800	9.284136396	190.0			
T	45.629503277	9.284197127	190.0			
T	45.629525060	9.284258463	190.0			
T	45.629550423	9.284320654	190.0			
T	45.629577676	9.284393067	190.0			
T	45.629600481	9.284457887	190.0			
T	45.629620529	9.284512120	190.0			
T	45.629635921	9.284571167	190.0			
T	45.629662590	9.284642503	190.0			
T	45.629681002	9.284706769	190.0			
T	45.629724783	9.284855839	190.0			
T	45.629770832	9.285030644	190.0			
T	45.629811316	9.285210774	190.0			
T	45.629843850	9.285339669	190.0			
T	45.629865001	9.285469305	190.0			
T	45.629884524	9.285596953	190.1			
