latitude,longitude,altitude (m)
45.61605328,9.280869055,0
45.61613268,9.280883618,0
45.61619635,9.280897571,0
45.61625577,9.280906256,0
45.61631827,9.280912434,0
45.61636987,9.280925622,0
45.61646224,9.280941133,0
45.61653556,9.280949878,0
45.61665022,9.280964567,0
45.61673139,9.280979711,0
45.61683101,9.280997682,0
45.61693389,9.281012037,0
45.61706861,9.281030563,0
45.61720735,9.281045906,0
45.6173946,9.281077744,0
45.61755679,9.281091945,0
45.61769658,9.281109302,0
45.61778991,9.281120968,0
45.61786218,9.281127928,0
45.61794713,9.281136327,0
45.61805969,9.281150872,0
45.6181993,9.281173434,0
45.61825949,9.281182927,0
45.61833195,9.281201021,0
45.6184456,9.281211267,0
45.61855107,9.281225344,0
45.61866225,9.281242754,0
45.61876898,9.281256508,0
45.6188633,9.281268089,0
45.61898945,9.281295519,0
45.61905912,9.281299224,0
45.61914684,9.281317923,0
45.61924554,9.281330848,0
45.61934272,9.281349821,0
45.61947684,9.28137544,0
45.61958132,9.281386717,0
45.61973237,9.281397536,0
45.61988101,9.281422832,0
45.62002791,9.281438829,0
45.62012459,9.281456251,0
45.62019975,9.281470561,0
45.62028261,9.281479818,0
45.6203723,9.281486441,0
45.62048236,9.281479727,0
45.62057627,9.281484434,0
45.6207103,9.281508392,0
45.62083579,9.28152076,0
45.62109559,9.281551184,0
45.62126027,9.281569809,0
45.62140436,9.28158649,0
45.62153434,9.281599836,0
45.62167818,9.281616736,0
45.62180529,9.281626927,0
45.62190888,9.281643898,0
45.62196458,9.28163761,0
45.62214326,9.281668987,0
45.62221456,9.281679803,0
45.62227514,9.281679467,0
45.62235628,9.281693239,0
45.62240938,9.281698626,0
45.6224607,9.281705869,0
45.62251591,9.281713691,0
45.62258123,9.281720659,0
45.62264534,9.281728186,0
45.62271567,9.28174065,0
45.62277139,9.28174288,0
45.62282183,9.281752109,0
45.62286359,9.281761247,0
45.62290244,9.281765287,0
45.62293518,9.28176781,0
45.62298655,9.281771636,0
45.62304211,9.281781885,0
45.62309589,9.281785221,0
45.62314398,9.281793526,0
45.62322049,9.281805993,0
45.62326928,9.281811355,0
45.62332482,9.281820845,0
45.62338194,9.281829187,0
45.62343502,9.281835041,0
45.62347734,9.281836908,0
45.62352218,9.281846499,0
45.62355984,9.281854557,0
45.62360729,9.281860601,0
45.62365599,9.281865255,0
45.62368907,9.281866301,0
45.62373454,9.281874489,0
45.62376958,9.281878568,0
45.62382344,9.281886861,0
45.62387356,9.281890987,0
45.62392478,9.281896485,0
45.62396918,9.281896835,0
45.62403001,9.281911874,0
45.62406812,9.281913172,0
45.62410801,9.281917749,0
45.62413954,9.281924058,0
45.62416635,9.281927235,0
45.62419237,9.281929956,0
45.6242183,9.281933662,0
45.62424934,9.281935194,0
45.62428473,9.28193841,0
45.62432605,9.281943823,0
45.6243759,9.281949626,0
45.6244147,9.281961459,0
45.62445431,9.281970953,0
45.6244778,9.281984564,0
45.62449998,9.282008103,0
45.62451424,9.282032094,0
45.62452292,9.282060627,0
45.62452763,9.28208375,0
45.62452638,9.282103541,0
45.6245246,9.282122376,0
45.62452367,9.282144608,0
45.62452115,9.282163744,0
45.62451902,9.282183793,0
45.62451599,9.282202583,0
45.62451728,9.282222636,0
45.62451767,9.282245489,0
45.62451342,9.282262657,0
45.62451377,9.28227998,0
45.62451494,9.282302512,0
45.62451519,9.282322239,0
45.62451738,9.28234559,0
45.62452278,9.282368029,0
45.62452716,9.282390356,0
45.62453487,9.282411961,0
45.62454474,9.28243044,0
45.62455602,9.282451958,0
45.62456953,9.282469114,0
45.62458448,9.282484677,0
45.62460157,9.282503087,0
45.62462044,9.282520009,0
45.62464654,9.282532331,0
45.62467122,9.282543124,0
45.62468893,9.282543744,0
45.62470419,9.282541141,0
45.6247204,9.282541153,0
45.62474068,9.282536988,0
45.62476049,9.282530255,0
45.62478636,9.282524403,0
45.62481299,9.282510298,0
45.62483575,9.282501406,0
45.6248643,9.282493053,0
45.62489516,9.282480239,0
45.62491423,9.282473019,0
45.6249426,9.282462599,0
45.62496536,9.282458427,0
45.62498906,9.282447631,0
45.6250135,9.282440465,0
45.62503788,9.282433637,0
45.62505995,9.282423993,0
45.6250842,9.282414115,0
45.62510992,9.282402831,0
45.62514187,9.282390552,0
45.62516901,9.282381074,0
45.62520303,9.282369493,0
45.62523622,9.28235588,0
45.62527922,9.282342024,0
45.62531991,9.282326876,0
45.62535012,9.282313299,0
45.62538484,9.28229884,0
45.62541551,9.282287972,0
45.62545293,9.2822716,0
45.62549789,9.282261206,0
45.62553385,9.282244572,0
45.62557906,9.282229664,0
45.62562345,9.282217195,0
45.62566339,9.282203636,0
45.62570764,9.282193183,0
45.62575901,9.282182131,0
45.62580326,9.282171578,0
45.6258495,9.282166093,0
45.6259284,9.282158654,0
45.62597523,9.282148726,0
45.62602227,9.282148439,0
45.62606205,9.282146363,0
45.62610585,9.282148248,0
45.62616364,9.282143786,0
45.6262136,9.282148545,0
