type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	45.616053277	9.280869055	180.9	Right_Boundary		Right_Boundary_Data.kml
T	45.616132682	9.280883618	180.7			
T	45.616196348	9.280897571	180.3			
T	45.616255767	9.280906256	180.0			
T	45.616318271	9.280912434	179.6			
T	45.616369873	9.280925622	179.4			
T	45.616462239	9.280941133	179.7			
T	45.616535562	9.280949878	180.0			
T	45.616650223	9.280964567	180.5			
T	45.616731387	9.280979711	180.7			
T	45.616831005	9.280997682	181.0			
T	45.616933889	9.281012037	181.3			
T	45.617068607	9.281030563	181.3			
T	45.617207351	9.281045906	181.2			
T	45.617394599	9.281077744	181.7			
T	45.617556789	9.281091945	182.0			
T	45.617696577	9.281109302	182.0			
T	45.617789907	9.281120968	182.0			
T	45.617862181	9.281127928	182.0			
T	45.617947128	9.281136327	182.0			
T	45.618059690	9.281150872	182.0			
T	45.618199297	9.281173434	182.5			
T	45.618259489	9.281182927	182.7			
T	45.618331950	9.281201021	183.0			
T	45.618445602	9.281211267	183.0			
T	45.618551069	9.281225344	183.0			
T	45.618662252	9.281242754	183.0			
T	45.618768975	9.281256508	183.0			
T	45.618863299	9.281268089	183.0			
T	45.618989452	9.281295519	183.4			
T	45.619059117	9.281299224	183.6			
T	45.619146838	9.281317923	183.9			
T	45.619245541	9.281330848	184.0			
T	45.619342717	9.281349821	184.0			
T	45.619476839	9.281375440	184.0			
T	45.619581317	9.281386717	184.0			
T	45.619732372	9.281397536	183.9			
T	45.619881014	9.281422832	183.4			
T	45.620027914	9.281438829	182.8			
T	45.620124591	9.281456251	182.3			
T	45.620199745	9.281470561	182.0			
T	45.620282606	9.281479818	181.7			
T	45.620372297	9.281486441	182.5			
T	45.620482357	9.281479727	183.4			
T	45.620576269	9.281484434	184.0			
T	45.620710297	9.281508392	184.0			
T	45.620835787	9.281520760	184.0			
T	45.621095587	9.281551184	184.0			
T	45.621260269	9.281569809	184.5			
T	45.621404360	9.281586490	185.0			
T	45.621534338	9.281599836	185.0			
T	45.621678184	9.281616736	185.0			
T	45.621805287	9.281626927	185.0			
T	45.621908875	9.281643898	185.0			
T	45.621964582	9.281637610	185.0			
T	45.622143262	9.281668987	185.0			
T	45.622214557	9.281679803	185.0			
T	45.622275135	9.281679467	185.0			
T	45.622356284	9.281693239	185.0			
T	45.622409376	9.281698626	185.0			
T	45.622460700	9.281705869	185.0			
T	45.622515908	9.281713691	185.0			
T	45.622581228	9.281720659	185.1			
T	45.622645342	9.281728186	185.1			
T	45.622715665	9.281740650	185.2			
T	45.622771387	9.281742880	185.3			
T	45.622821828	9.281752109	185.3			
T	45.622863585	9.281761247	185.3			
T	45.622902444	9.281765287	185.4			
T	45.622935178	9.281767810	185.4			
T	45.622986546	9.281771636	185.4			
T	45.623042110	9.281781885	185.4			
T	45.623095889	9.281785221	185.5			
T	45.623143976	9.281793526	185.6			
T	45.623220489	9.281805993	185.8			
T	45.623269283	9.281811355	185.9			
T	45.623324819	9.281820845	186.0			
T	45.623381943	9.281829187	186.0			
T	45.623435019	9.281835041	186.0			
T	45.623477340	9.281836908	186.0			
T	45.623522175	9.281846499	186.0			
T	45.623559836	9.281854557	186.0			
T	45.623607292	9.281860601	186.0			
T	45.623655989	9.281865255	186.0			
T	45.623689069	9.281866301	186.0			
T	45.623734541	9.281874489	186.0			
T	45.623769584	9.281878568	186.0			
T	45.623823440	9.281886861	186.0			
T	45.623873564	9.281890987	186.0			
T	45.623924782	9.281896485	186.0			
T	45.623969176	9.281896835	186.0			
T	45.624030013	9.281911874	186.0			
T	45.624068116	9.281913172	186.0			
T	45.624108007	9.281917749	186.0			
T	45.624139538	9.281924058	186.0			
T	45.624166348	9.281927235	186.0			
T	45.624192371	9.281929956	186.0			
T	45.624218304	9.281933662	186.0			
T	45.624249342	9.281935194	186.0			
T	45.624284727	9.281938410	186.0			
T	45.624326050	9.281943823	186.0			
T	45.624375903	9.281949626	186.0			
T	45.624417475	9.281955535	186.0			
T	45.624454857	9.281963858	186.1			
T	45.624479308	9.281969847	186.2			
T	45.624506427	9.281992749	186.4			
T	45.624523296	9.282027227	186.5			
T	45.624527460	9.282058415	186.6			
T	45.624527626	9.282083750	186.7			
T	45.624526382	9.282103541	186.7			
T	45.624524599	9.282122376	186.7			
T	45.624523672	9.282144608	186.8			
T	45.624521152	9.282163744	186.8			
T	45.624519023	9.282183793	186.9			
T	45.624515993	9.282202583	186.9			
T	45.624517280	9.282222636	187.0			
T	45.624517669	9.282245489	187.0			
T	45.624513421	9.282262657	187.0			
T	45.624513767	9.282279980	187.0			
T	45.624514937	9.282302512	187.0			
T	45.624515193	9.282322239	187.0			
T	45.624517383	9.282345590	187.0			
T	45.624522778	9.282368029	187.0			
T	45.624527162	9.282390356	187.0			
T	45.624534873	9.282411961	187.0			
T	45.624544735	9.282430440	187.0			
T	45.624556024	9.282451958	187.0			
T	45.624569528	9.282469114	187.0			
T	45.624584475	9.282484677	187.0			
T	45.624601568	9.282503087	187.0			
T	45.624620435	9.282520009	187.0			
T	45.624646544	9.282532331	187.0			
T	45.624671218	9.282543124	187.0			
T	45.624688934	9.282543744	187.0			
T	45.624704193	9.282541141	187.0			
T	45.624720402	9.282541153	187.0			
T	45.624740680	9.282536988	187.0			
T	45.624760492	9.282530255	187.0			
T	45.624786356	9.282524403	187.0			
T	45.624812992	9.282510298	187.0			
T	45.624835749	9.282501406	187.0			
T	45.624864300	9.282493053	187.0			
T	45.624895163	9.282480239	187.0			
T	45.624914228	9.282473019	187.0			
T	45.624942597	9.282462599	187.0			
T	45.624965362	9.282458427	187.0			
T	45.624989064	9.282447631	187.0			
T	45.625013501	9.282440465	187.0			
T	45.625037875	9.282433637	187.0			
T	45.625059951	9.282423993	187.0			
T	45.625084202	9.282414115	187.0			
T	45.625109924	9.282402831	187.0			
T	45.625141870	9.282390552	187.0			
T	45.625169006	9.282381074	187.0			
T	45.625203030	9.282369493	187.0			
T	45.625236221	9.282355880	187.0			
T	45.625279219	9.282342024	187.0			
T	45.625319909	9.282326876	187.0			
T	45.625350117	9.282313299	187.0			
T	45.625384841	9.282298840	187.0			
T	45.625415509	9.282287972	187.0			
T	45.625452927	9.282271600	187.0			
T	45.625497889	9.282261206	187.0			
T	45.625533849	9.282244572	187.0			
T	45.625579056	9.282229664	187.1			
T	45.625623446	9.282217195	187.3			
T	45.625663389	9.282203636	187.4			
T	45.625707636	9.282193183	187.6			
T	45.625759008	9.282182131	187.8			
T	45.625803255	9.282171578	187.9			
T	45.625849503	9.282166093	188.0			
T	45.625928400	9.282158654	188.1			
T	45.625975227	9.282148726	188.1			
T	45.626022274	9.282148439	188.2			
T	45.626062047	9.282146363	188.2			
T	45.626105846	9.282148248	188.3			
T	45.626163637	9.282143786	188.2			
T	45.626213604	9.282148545	188.2			
T	45.626272584	9.282152378	188.1			
T	45.626323871	9.282157533	188.1			
T	45.626373781	9.282161245	188.0			
T	45.626418265	9.282166764	188.0			
T	45.626466217	9.282172512	188.0			
T	45.626509306	9.282178180	188.0			
