latitude (deg)	longitude (deg)	altitude (m)
41.56972353	2.261056425	120.8
41.56969322	2.261030469	120.7
41.56962758	2.260972897	120.5
41.56956079	2.260915906	120.5
41.56951593	2.260880338	120.7
41.56945398	2.260833111	121
41.56939506	2.260774293	120.6
41.56932833	2.260727114	120.4
41.56924748	2.26065585	120.1
41.56915486	2.260580038	120
41.569089	2.260522283	120.2
41.56901678	2.260456517	120.3
41.56893054	2.26038833	120.3
41.56883754	2.260314922	120.2
41.56874485	2.260227087	120.4
41.56863075	2.260130073	120.4
41.56850006	2.260021089	120
41.56838922	2.259932712	120
41.56824948	2.2598185	120
41.56805906	2.259657572	119.8
41.56795527	2.259574736	119.3
41.56786579	2.259487003	119
41.56776444	2.259412082	119
41.56764953	2.259304656	119
41.56753545	2.259213488	119
41.56739557	2.259100103	118.8
41.56724441	2.258970989	118.3
41.5670788	2.258828767	117.4
41.56689459	2.258683737	116.8
41.56676445	2.258570373	116.3
41.56659254	2.258416694	115.5
41.56642428	2.258270826	115
41.56628937	2.258172075	114.7
41.56617768	2.25807388	114.9
41.5660524	2.257974524	114.4
41.56595069	2.257891492	113.9
41.56582853	2.257784656	114
41.56571877	2.257684014	113.7
41.56566324	2.257642554	113.7
41.56560407	2.257594464	113.7
41.56554386	2.257545583	113.8
41.56547942	2.257484798	113.7
41.56541704	2.257435214	113.4
41.56537513	2.257401129	113.2
41.5653263	2.257359656	113.1
41.56528455	2.257328965	113
41.56524216	2.257293067	112.9
41.56520214	2.257262469	112.9
41.5651699	2.257236513	113
41.56513257	2.257205276	113
41.56509044	2.257168854	113
41.56505379	2.257137802	113
41.56501288	2.257104746	113
41.56497135	2.257068092	112.9
41.56492348	2.257030905	112.8
41.56486873	2.256985136	112.9
41.56483015	2.256945315	113
41.56478251	2.256907926	112.9
41.56474426	2.256874432	112.7
41.56471388	2.256836454	112.6
41.56467764	2.256784028	112.4
41.56464608	2.256730514	112.4
41.56461694	2.256660405	112.4
41.5646097	2.25662555	112.4
41.56459901	2.256600147	112.4
41.56459212	2.25656677	112.5
41.56458505	2.256536996	112.5
41.56458206	2.256497668	112.5
41.56457565	2.256465609	112.5
41.56457181	2.256427177	112.5
41.564574	2.256391207	112.5
41.56457284	2.256353515	112.6
41.56458317	2.256319902	112.6
41.56459	2.256287932	112.7
41.56459596	2.256258206	112.7
41.56460138	2.256220902	112.8
41.56461394	2.25619158	112.8
41.56462673	2.256160602	112.9
41.56463814	2.256126437	113
41.56465193	2.256090893	113
41.56466699	2.256065539	113
41.56468372	2.256023871	113
41.564702	2.255993033	113
41.56471952	2.2559539	113
41.56473446	2.255917301	113
41.56475146	2.255884987	113
41.56476618	2.255849907	113
41.56477902	2.255822823	113
41.56479526	2.2557946	113.1
41.56480679	2.255766363	113.2
41.56481354	2.255737838	113.3
41.56482189	2.255702547	113.5
41.56482892	2.255672131	113.6
41.56483457	2.255641912	113.7
41.56484054	2.25561158	113.8
41.56484138	2.255578453	113.9
41.56484763	2.255547588	114
41.56484575	2.255514563	114.1
41.564845	2.255485328	114.3
41.56484677	2.25545444	114.4
41.56484569	2.255427521	114.5
41.5648424	2.255391109	114.6
41.56483668	2.255349908	114.7
41.56483052	2.255312906	114.9
