latitude,longitude,altitude (m)
45.61606367,9.280685586,181
45.61616392,9.280700467,180.4
45.61622327,9.28070918,179.8
45.61628475,9.28071955,179.2
45.61635953,9.280730534,178.5
45.61647857,9.280747915,179.3
45.61657465,9.280761465,180.3
45.61666522,9.280774538,181.2
45.61673771,9.280786646,181.4
45.61680918,9.280794186,181.6
45.61690004,9.280807521,181.9
45.61696874,9.280818149,182
45.61703636,9.280827524,182
45.61709804,9.280835978,182
45.61715223,9.280844593,182
45.61721991,9.280855206,181.9
45.61728331,9.280864039,181.9
45.61735824,9.28087322,181.9
45.61744241,9.280886333,182
45.61753624,9.280900843,182
45.61759559,9.28090762,182
45.61764402,9.280914952,182
45.61769605,9.280922827,182
45.61775349,9.280934262,182
45.61781691,9.280939428,182
45.61787914,9.280948937,182
45.6179383,9.280956743,182
45.61800467,9.280968653,182
45.61808024,9.280976907,182.1
45.61815109,9.280989881,182.3
45.61825278,9.281004984,182.7
45.61831449,9.281010585,182.9
45.61839416,9.28102637,183
45.61847554,9.28103992,183
45.61855957,9.281047882,183
45.61865279,9.281060026,183
45.61872278,9.281075277,183
45.61879834,9.281084788,183
45.61888654,9.281097865,183
45.61895341,9.281106857,183.2
45.61902688,9.281117398,183.5
45.61910367,9.281127043,183.8
45.61917095,9.281138497,184
45.61922793,9.281145728,184
45.6192969,9.281156131,184
45.61936308,9.281164599,184
45.61941887,9.281174082,184
45.6194833,9.281183145,184
45.61955957,9.281196112,184
45.61963508,9.281206872,184
45.61972656,9.281218109,184
45.61980008,9.281229211,183.9
45.61986115,9.281240685,183.8
45.6199368,9.281251458,183.6
45.61998541,9.281256991,183.5
45.62003394,9.281265084,183.1
45.62008726,9.2812731,182.7
45.6201311,9.281277386,182.3
45.62018901,9.281286238,181.8
45.62025474,9.281294179,181.2
45.6203182,9.281302198,181.4
45.62037878,9.281311384,182.1
45.62044434,9.28131794,182.8
45.62050867,9.281327711,183.5
45.62057401,9.281337746,184
45.62062808,9.281346499,184
45.62069535,9.281351212,184
45.62075584,9.281364795,184
45.62084889,9.281370518,184
45.62091241,9.281382737,184
45.62096305,9.281387095,184
45.6210131,9.281396881,184
45.62107958,9.281405478,184
45.62114344,9.281411462,184.1
45.62120155,9.281417957,184.3
45.62126544,9.281426434,184.6
45.62132373,9.281435728,184.8
45.62138172,9.281442328,185
45.62143493,9.281449788,185
45.62149523,9.28145489,185
45.62155599,9.281464342,185
45.62163553,9.281474434,185
45.62170387,9.28148206,185
45.62175581,9.281488551,185
45.62179867,9.281495549,185
45.62183661,9.281497726,185
45.62188831,9.281506991,185
45.62193662,9.281513862,185
45.62198494,9.281520828,185
45.62201921,9.281526459,185
45.62211814,9.281537808,185
45.62216591,9.281543497,185
45.62221267,9.281549138,185
45.62226812,9.281556408,185
45.62232652,9.281563536,185
45.62238556,9.281571645,185
45.62243736,9.281579212,185
45.62252049,9.281588718,185
45.62260298,9.281599084,185
45.62268209,9.281610593,185
45.62276166,9.281620397,185
45.62284755,9.28163154,185
45.62294942,9.28164275,185
45.62299036,9.28164986,185
45.62302241,9.281655392,185
45.62306029,9.281659838,185
45.62309876,9.281663256,185.2
45.62314812,9.28167024,185.3
45.62318492,9.281676581,185.5
45.62321891,9.281679111,185.6
45.62325477,9.281682973,185.7
45.62329702,9.28169123,185.9
45.62333658,9.281694277,186
45.62338164,9.281700418,186
45.62342972,9.281705289,186
45.62347122,9.281712023,186
45.6235064,9.281714715,186
45.62355646,9.281721823,186
45.62359947,9.28172704,186
45.62364366,9.281735077,186
45.62367881,9.281738185,186
45.62372522,9.281744713,186
45.62375465,9.281748797,186
