type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	41.569723528	2.261056425	120.8	Left Boundary		Left Boundary.kml
T	41.569693215	2.261030469	120.7			
T	41.569627584	2.260972897	120.5			
T	41.569560788	2.260915906	120.5			
T	41.569515928	2.260880338	120.7			
T	41.569453983	2.260833111	121.0			
T	41.569395059	2.260774293	120.6			
T	41.569328332	2.260727114	120.4			
T	41.569247483	2.260655850	120.1			
T	41.569154857	2.260580038	120.0			
T	41.569089004	2.260522283	120.2			
T	41.569016777	2.260456517	120.3			
T	41.568930544	2.260388330	120.3			
T	41.568837544	2.260314922	120.2			
T	41.568744851	2.260227087	120.4			
T	41.568630751	2.260130073	120.4			
T	41.568500060	2.260021089	120.0			
T	41.568389219	2.259932712	120.0			
T	41.568249484	2.259818500	120.0			
T	41.568059064	2.259657572	119.8			
T	41.567955266	2.259574736	119.3			
T	41.567865788	2.259487003	119.0			
T	41.567764435	2.259412082	119.0			
T	41.567649527	2.259304656	119.0			
T	41.567535454	2.259213488	119.0			
T	41.567395569	2.259100103	118.8			
T	41.567244412	2.258970989	118.3			
T	41.567078804	2.258828767	117.4			
T	41.566894589	2.258683737	116.8			
T	41.566764452	2.258570373	116.3			
T	41.566592541	2.258416694	115.5			
T	41.566424281	2.258270826	115.0			
T	41.566289373	2.258172075	114.7			
T	41.566177677	2.258073880	114.9			
T	41.566052400	2.257974524	114.4			
T	41.565950694	2.257891492	113.9			
T	41.565828527	2.257784656	114.0			
T	41.565718766	2.257684014	113.7			
T	41.565663236	2.257642554	113.7			
T	41.565604071	2.257594464	113.7			
T	41.565543856	2.257545583	113.8			
T	41.565479421	2.257484798	113.7			
T	41.565417037	2.257435214	113.4			
T	41.565375126	2.257401129	113.2			
T	41.565326297	2.257359656	113.1			
T	41.565284554	2.257328965	113.0			
T	41.565242162	2.257293067	112.9			
T	41.565202140	2.257262469	112.9			
T	41.565169897	2.257236513	113.0			
T	41.565132569	2.257205276	113.0			
T	41.565090443	2.257168854	113.0			
T	41.565053794	2.257137802	113.0			
T	41.565012882	2.257104746	113.0			
T	41.564971346	2.257068092	112.9			
T	41.564923477	2.257030905	112.8			
T	41.564868727	2.256985136	112.9			
T	41.564830150	2.256945315	113.0			
T	41.564782513	2.256907926	112.9			
T	41.564744256	2.256874432	112.7			
T	41.564713876	2.256836454	112.6			
T	41.564677640	2.256784028	112.4			
T	41.564646083	2.256730514	112.4			
T	41.564616936	2.256660405	112.4			
T	41.564609698	2.256625550	112.4			
T	41.564599007	2.256600147	112.4			
T	41.564592122	2.256566770	112.5			
T	41.564585047	2.256536996	112.5			
T	41.564582060	2.256497668	112.5			
T	41.564575646	2.256465609	112.5			
T	41.564571810	2.256427177	112.5			
T	41.564573995	2.256391207	112.5			
T	41.564572837	2.256353515	112.6			
T	41.564583167	2.256319902	112.6			
T	41.564589999	2.256287932	112.7			
T	41.564595957	2.256258206	112.7			
T	41.564601380	2.256220902	112.8			
T	41.564613940	2.256191580	112.8			
T	41.564626727	2.256160602	112.9			
T	41.564638142	2.256126437	113.0			
T	41.564651926	2.256090893	113.0			
T	41.564666994	2.256065539	113.0			
T	41.564683717	2.256023871	113.0			
T	41.564702001	2.255993033	113.0			
T	41.564719519	2.255953900	113.0			
T	41.564734463	2.255917301	113.0			
T	41.564751456	2.255884987	113.0			
T	41.564766178	2.255849907	113.0			
T	41.564779019	2.255822823	113.0			
T	41.564795256	2.255794600	113.1			
T	41.564806791	2.255766363	113.2			
T	41.564813537	2.255737838	113.3			
T	41.564821890	2.255702547	113.5			
T	41.564828919	2.255672131	113.6			
T	41.564834572	2.255641912	113.7			
T	41.564840537	2.255611580	113.8			
T	41.564841377	2.255578453	113.9			
T	41.564847630	2.255547588	114.0			
T	41.564845751	2.255514563	114.1			
T	41.564844998	2.255485328	114.3			
T	41.564846770	2.255454440	114.4			
T	41.564845694	2.255427521	114.5			
T	41.564842404	2.255391109	114.6			
T	41.564836683	2.255349908	114.7			
T	41.564830523	2.255312906	114.9			
T	41.564818343	2.255274874	115.0			
T	41.564806492	2.255234488	115.2			
T	41.564795702	2.255200276	115.3			
T	41.564773966	2.255154081	115.4			
T	41.564754404	2.255111224	115.6			
T	41.564731532	2.255070718	115.7			
T	41.564702003	2.255012811	116.0			
T	41.564667816	2.254952440	116.3			
T	41.564632893	2.254899994	116.6			
T	41.564597334	2.254835608	116.8			
T	41.564561670	2.254767358	116.9			
T	41.564521036	2.254682810	117.1			
T	41.564480710	2.254617116	117.4			
T	41.564439136	2.254539151	117.7			
T	41.564399034	2.254468343	118.3			
T	41.564366764	2.254418278	118.6			
T	41.564343570	2.254354758	118.9			
T	41.564307184	2.254293023	119.3			
T	41.564278857	2.254226099	119.5			
T	41.564252770	2.254160639	119.7			
T	41.564214628	2.254058381	120.2			
T	41.564189707	2.253951441	120.7			
T	41.564169677	2.253847355	121.0			
T	41.564159192	2.253781966	121.0			
T	41.564150596	2.253711259	121.1			
T	41.564149435	2.253649835	121.1			
T	41.564150544	2.253590446	121.2			
T	41.564133558	2.253503318	121.8			
T	41.564140400	2.253461898	122.1			
T	41.564135875	2.253414025	122.5			
T	41.564136346	2.253372454	122.7			
T	41.564138978	2.253329748	123.0			
T	41.564139625	2.253278772	123.0			
T	41.564154082	2.253241204	123.0			
T	41.564165985	2.253203643	123.0			
T	41.564178520	2.253149098	123.0			
T	41.564194935	2.253103643	123.1			
T	41.564207315	2.253043330	123.2			
T	41.564219609	2.252997906	123.4			
