type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	41.569830497	2.260966291	120.3	Right Boundary		Right Boundary.kml
T	41.569790897	2.260929481	120.3			
T	41.569679695	2.260841631	120.2			
T	41.569619529	2.260789248	120.3			
T	41.569536865	2.260720356	120.4			
T	41.569435974	2.260634972	120.3			
T	41.569348387	2.260560065	120.0			
T	41.569202387	2.260439733	120.0			
T	41.569113139	2.260361269	120.1			
T	41.569005710	2.260269936	120.0			
T	41.568886128	2.260168729	120.0			
T	41.568733215	2.260044546	120.1			
T	41.568567689	2.259905492	120.0			
T	41.568372363	2.259738682	120.0			
T	41.568195741	2.259595066	119.8			
T	41.568005485	2.259436040	119.0			
T	41.567788213	2.259251303	119.0			
T	41.567618685	2.259099074	119.1			
T	41.567463656	2.258966944	118.3			
T	41.567229375	2.258764854	117.6			
T	41.567103864	2.258660295	117.1			
T	41.566996935	2.258571053	116.9			
T	41.566875135	2.258480527	116.4			
T	41.566775810	2.258390715	116.1			
T	41.566681064	2.258308363	115.7			
T	41.566580171	2.258233768	114.9			
T	41.566452174	2.258121172	114.7			
T	41.566377931	2.258060931	115.0			
T	41.566309857	2.258001827	114.9			
T	41.566250704	2.257951830	114.8			
T	41.566190136	2.257906554	114.6			
T	41.566105355	2.257829668	114.2			
T	41.566023838	2.257762667	114.0			
T	41.565940688	2.257693797	114.0			
T	41.565842057	2.257611428	114.0			
T	41.565741529	2.257525016	114.0			
T	41.565649383	2.257451200	113.9			
T	41.565542703	2.257365679	113.5			
T	41.565458559	2.257283871	113.1			
T	41.565354374	2.257192107	113.0			
T	41.565278908	2.257141342	113.0			
T	41.565204059	2.257072786	113.0			
T	41.565154661	2.257029664	113.0			
T	41.565110482	2.256994169	113.0			
T	41.565071761	2.256958227	113.0			
T	41.565035478	2.256935568	113.0			
T	41.564992241	2.256897244	112.8			
T	41.564953921	2.256865386	112.7			
T	41.564924290	2.256841545	112.6			
T	41.564888847	2.256809931	112.5			
T	41.564859230	2.256780822	112.4			
T	41.564826671	2.256756104	112.3			
T	41.564796028	2.256731062	112.2			
T	41.564772778	2.256702661	112.1			
T	41.564745866	2.256663777	112.0			
T	41.564721976	2.256620897	112.0			
T	41.564710572	2.256585314	112.0			
T	41.564698850	2.256541103	112.1			
T	41.564686857	2.256487817	112.1			
T	41.564677911	2.256437968	112.2			
T	41.564673357	2.256391070	112.2			
T	41.564682080	2.256349508	112.3			
T	41.564687783	2.256319362	112.3			
T	41.564697860	2.256284847	112.4			
T	41.564714022	2.256249955	112.5			
T	41.564724284	2.256217747	112.6			
T	41.564739828	2.256189017	112.7			
T	41.564754713	2.256155471	112.8			
T	41.564768409	2.256105506	113.0			
T	41.564786577	2.256064183	113.0			
T	41.564807790	2.256019221	113.0			
T	41.564834191	2.255980007	113.0			
T	41.564861602	2.255924027	113.0			
T	41.564878748	2.255872549	113.0			
T	41.564902558	2.255814426	113.1			
T	41.564919134	2.255750887	113.3			
T	41.564932330	2.255686546	113.5			
T	41.564942290	2.255606958	113.8			
T	41.564947098	2.255562875	114.0			
T	41.564952471	2.255504186	114.2			
T	41.564946179	2.255458763	114.3			
T	41.564945764	2.255402976	114.5			
T	41.564947207	2.255345748	114.8			
T	41.564947358	2.255307331	114.9			
T	41.564925263	2.255242816	115.1			
T	41.564904394	2.255189149	115.3			
T	41.564889443	2.255132902	115.5			
T	41.564866070	2.255066367	115.8			
T	41.564840872	2.255002326	116.0			
T	41.564809998	2.254971611	116.2			
T	41.564776953	2.254900121	116.6			
T	41.564753409	2.254859740	116.7			
T	41.564721901	2.254799911	116.7			
T	41.564688498	2.254738129	117.0			
T	41.564654849	2.254684688	117.1			
T	41.564629404	2.254617442	117.4			
T	41.564596541	2.254567661	117.6			
T	41.564567013	2.254518790	117.7			
T	41.564537686	2.254467575	117.9			
T	41.564497831	2.254399399	118.3			
T	41.564461846	2.254338335	118.5			
T	41.564420485	2.254246444	118.8			
T	41.564384670	2.254187228	119.2			
T	41.564364834	2.254131689	119.4			
T	41.564337989	2.254073589	119.7			
T	41.564310458	2.254004507	120.1			
T	41.564298626	2.253935206	120.4			
T	41.564271710	2.253844769	120.8			
T	41.564262004	2.253762178	121.1			
T	41.564258251	2.253681222	121.4			
T	41.564243359	2.253587100	121.7			
T	41.564243446	2.253495701	122.3			
T	41.564259395	2.253426296	122.8			
T	41.564264645	2.253361235	123.2			
T	41.564269173	2.253294287	123.4			
T	41.564283109	2.253220128	123.4			
T	41.564305231	2.253149273	123.5			
T	41.564315425	2.253083081	123.5			
T	41.564331180	2.253030484	123.6			
T	41.564349940	2.252984427	123.7			
T	41.564374915	2.252941144	123.9			
T	41.564392872	2.252887101	123.9			
T	41.564414175	2.252830768	124.0			
T	41.564429817	2.252785413	124.0			
T	41.564455911	2.252741817	124.3			
T	41.564487390	2.252707995	124.7			
